Input Signal, Output Signal, Freq Scale, Mag Spec Input, Phase Spec Input, Impulse Resp, Freq Resp Mag, Freq Resp Phase, Mag Spec Out, Mag Phase Out
0.001190,0.000000,0.000000,-9.437823,-0.000000,0.000862,0.158591,0.000000,-13.907674,0.000000,
0.002563,-0.000000,11.019490,5.268099,-1.453684,0.008149,0.158592,-0.007437,-15.424270,-0.218732,
0.004242,-0.000000,22.038981,15.018000,0.830103,0.036125,0.158564,-0.014874,-16.578812,-0.524956,
0.005707,0.000029,33.058471,13.512598,-1.535217,0.100029,0.158535,-0.022312,-19.603884,-0.340295,
0.007355,0.000993,44.077961,9.849648,-1.010286,0.193738,0.158489,-0.029749,-27.760366,0.484584,
0.008331,-0.000000,55.097451,16.795141,-0.429439,0.276235,0.158425,-0.037186,-24.300400,0.313806,
0.008514,-0.000000,66.116942,13.496964,1.551200,0.291905,0.158358,-0.044623,-18.844484,0.577461,
0.008423,-0.000009,77.136432,22.844187,0.175627,0.214129,0.158274,-0.052061,-15.860061,0.691400,
0.008453,0.000784,88.155922,27.816837,-1.449219,0.072947,0.158182,-0.059499,-12.046432,0.767364,
0.008209,0.000000,99.175412,26.811707,0.821771,-0.060227,0.158064,-0.066936,-8.020337,0.217463,
0.006958,0.000000,110.194903,24.233532,-0.891667,-0.120161,0.157943,-0.074374,-7.138748,0.041972,
0.005127,-0.000005,121.214393,13.904160,0.379473,-0.090462,0.157802,-0.081812,-5.129112,-0.440356,
0.003204,-0.000061,132.233883,9.584079,-1.110555,-0.009904,0.157657,-0.089250,-23.160133,-1.053939,
0.000977,0.000000,143.253373,21.108856,0.435485,0.059262,0.157490,-0.096689,5.324712,-0.536953,
-0.001160,-0.000000,154.272864,5.265402,0.124523,0.074764,0.157307,-0.104128,-17.479694,1.117180,
-0.002075,-0.000000,165.292354,19.576355,-1.132220,0.038002,0.157122,-0.111566,-8.995430,1.501507,
-0.001923,0.000020,176.311844,23.149881,0.872665,-0.015335,0.156912,-0.119006,-14.699018,1.333561,
-0.000610,0.000126,187.331334,25.037405,-1.440392,-0.045934,0.156698,-0.126445,-17.625870,-1.290522,
0.002563,-0.000000,198.350825,15.919077,-0.299089,-0.038160,0.156472,-0.133884,-14.841583,-1.364865,
0.008240,-0.000006,209.370315,20.788517,-0.092223,-0.005884,0.156235,-0.141324,-15.379148,-1.228175,
0.014557,-0.000013,220.389805,16.936380,1.272697,0.023102,0.155970,-0.148765,-16.313339,-0.899411,
0.018646,0.008287,231.409295,6.812814,0.041362,0.029207,0.155706,-0.156205,-10.339031,-1.154192,
0.020630,-0.000000,242.428786,18.958611,-1.309047,0.013014,0.155417,-0.163646,-8.573938,-0.985817,
0.019196,0.000001,253.448276,19.146063,1.466686,-0.009259,0.155124,-0.171087,-6.779243,-1.308363,
0.014771,0.000061,264.467766,28.082451,0.995818,-0.020389,0.154809,-0.178529,-2.166469,1.525541,
0.008820,-0.003037,275.487256,29.353920,-0.472532,-0.014573,0.154494,-0.185971,5.418667,-0.316875,
0.003540,-0.000000,286.506747,29.536888,-1.506974,0.000697,0.154152,-0.193413,-2.412299,1.134985,
-0.001312,0.000001,297.526237,19.076567,-1.398672,0.012594,0.153804,-0.200856,-13.478413,1.345821,
-0.007355,-0.000022,308.545727,27.412252,1.238994,0.013171,0.153441,-0.208299,-13.731109,-1.477367,
-0.013733,-0.000375,319.565217,26.568680,-0.050255,0.004129,0.153066,-0.215742,-14.052326,-1.314257,
-0.021942,0.000000,330.584708,10.048344,-0.804190,-0.006235,0.152672,-0.223186,-10.047742,1.518751,
-0.036072,0.000000,341.604198,23.607292,0.128116,-0.010222,0.152270,-0.230631,-7.479650,1.292387,
-0.059601,0.000003,352.623688,20.981953,-0.827703,-0.006142,0.151849,-0.238076,-5.762259,0.541212,
-0.087036,-0.001375,363.643178,23.844379,0.877880,0.001596,0.151422,-0.245521,-12.504649,-0.560069,
-0.115265,0.139314,374.662669,24.920292,-0.751281,0.006776,0.150975,-0.252967,-14.217946,0.459030,
-0.147186,0.000000,385.682159,20.600039,0.694068,0.006160,0.150515,-0.260414,-14.498725,-0.005594,
-0.185547,-0.000002,396.701649,14.644431,-0.988095,0.001258,0.150045,-0.267861,-18.201744,-0.249218,
-0.223358,0.000053,407.721139,26.601166,0.404399,-0.003638,0.149560,-0.275308,-14.289354,0.612558,
-0.249329,0.002758,418.740630,24.651463,-1.145968,-0.005032,0.149058,-0.282756,-13.583567,0.120176,
-0.254730,0.000000,429.760120,25.762486,-1.528419,-0.002579,0.148543,-0.290205,-12.938951,0.035335,
